customer_id,wilayah,kelompok_usia,jenis_kelamin,segmen_pekerjaan,thin_file,lama_riwayat_kredit_bulan,jumlah_fasilitas_kredit_aktif,rasio_utang_pendapatan,riwayat_keterlambatan_90hari,konsistensi_isi_ulang_pulsa,lama_kepemilikan_nomor_bulan,rata_rata_pulsa_bulanan_rp,frekuensi_transaksi_ecommerce_bulanan,rating_rata_penjual_pembeli,rasio_retur_pembelian,rata_rata_kas_masuk_bulanan_rp,volatilitas_kas_cv,jumlah_hari_kas_negatif_per_bulan,default_flag
CUST100000,Kalimantan,36-45,P,Pekerja Informal/Gig,0,59.0,8,0.247,0,0.908,134.0,37000.0,4,3.78,0.073,810000.0,0.206,1,0
CUST100001,Jawa Non-Jabodetabek,26-35,P,Karyawan Formal,0,66.0,1,0.67,0,0.808,35.0,72000.0,4,3.93,0.097,1950000.0,0.183,0,0
CUST100002,Sulawesi,18-25,L,UMKM/Wirausaha,1,0.0,0,0.152,,0.661,134.0,57000.0,2,4.24,0.02,1410000.0,0.239,3,0
CUST100003,Kalimantan,56+,L,Karyawan Formal,0,32.0,0,0.381,0,0.862,60.0,16000.0,3,4.17,0.031,3220000.0,0.271,1,0
CUST100004,Jabodetabek,18-25,L,UMKM/Wirausaha,0,32.0,2,0.15,0,0.412,80.0,27000.0,3,4.02,0.075,1780000.0,0.272,0,0
CUST100005,Luar Jawa Lainnya,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.02,,0.561,41.0,24000.0,3,3.76,0.065,1220000.0,0.136,3,1
CUST100006,Kalimantan,26-35,L,Pekerja Informal/Gig,1,0.0,0,0.275,,0.676,104.0,54000.0,5,3.87,0.185,2550000.0,0.184,0,0
CUST100007,Kalimantan,46-55,P,UMKM/Wirausaha,1,0.0,0,0.365,,0.887,23.0,50000.0,1,5.0,0.066,3860000.0,0.394,6,1
CUST100008,Jabodetabek,36-45,L,Karyawan Formal,0,50.0,1,0.187,1,0.71,57.0,22000.0,2,4.88,0.172,1940000.0,0.239,0,0
CUST100009,Jawa Non-Jabodetabek,26-35,P,Pekerja Informal/Gig,1,0.0,0,0.172,,0.785,49.0,25000.0,0,3.99,0.065,3010000.0,0.064,3,0
CUST100010,Jawa Non-Jabodetabek,56+,P,UMKM/Wirausaha,0,29.0,3,0.132,0,0.886,75.0,34000.0,7,4.6,0.259,2920000.0,0.286,2,0
CUST100011,Luar Jawa Lainnya,18-25,L,UMKM/Wirausaha,1,0.0,0,0.302,,0.573,69.0,32000.0,1,4.23,0.03,3890000.0,0.648,6,1
CUST100012,Sumatra,46-55,P,UMKM/Wirausaha,0,8.0,3,0.317,2,0.359,73.0,22000.0,4,3.67,0.052,4980000.0,0.394,5,1
CUST100013,Sulawesi,18-25,L,UMKM/Wirausaha,1,0.0,0,0.61,,0.72,95.0,36000.0,2,4.89,0.087,2400000.0,0.227,5,0
CUST100014,Jawa Non-Jabodetabek,26-35,P,Karyawan Formal,0,9.0,2,0.509,0,0.479,43.0,38000.0,4,4.41,0.009,1230000.0,0.08,2,0
CUST100015,Jabodetabek,18-25,P,UMKM/Wirausaha,0,42.0,1,0.34,0,0.727,80.0,77000.0,4,4.7,0.164,8290000.0,0.548,2,0
CUST100016,Sumatra,56+,P,Karyawan Formal,0,21.0,0,0.118,1,0.735,113.0,95000.0,6,4.5,0.105,1270000.0,0.245,0,0
CUST100017,Jabodetabek,46-55,L,UMKM/Wirausaha,1,0.0,0,0.134,,0.959,100.0,17000.0,5,4.95,0.109,14780000.0,0.482,3,1
CUST100018,Sulawesi,36-45,L,UMKM/Wirausaha,0,67.0,0,0.441,0,0.706,60.0,53000.0,5,4.2,0.006,3740000.0,0.478,3,0
CUST100019,Sumatra,26-35,L,UMKM/Wirausaha,1,0.0,0,0.758,,0.659,60.0,76000.0,5,4.98,0.149,4380000.0,0.621,3,1
